tripID,startTime,endTime,startStationID,endStationID,start_lat,start_lng,end_lat,end_lng,stationID,type,latitude,longitude,time
0382C78C6306E6CA,2023-09-01 07:29:01,2023-09-01 07:40:16,S32048,M32017,42.3864,-71.09601,42.373329,-71.120986,,,,,
59E4E839DC37813B,2023-09-01 07:29:03,2023-09-01 07:52:16,D32058,M32062,42.352838,-71.129675,42.374267,-71.100265,,,,,
3B12F0D655BAA9D1,2023-09-01 07:29:20,2023-09-01 07:35:27,B32018,M32006,42.347406,-71.086784,42.3581,-71.093198,,,,,
4249719525D2AF4D,2023-09-01 07:29:29,2023-09-01 07:42:11,S32035,M32047,42.380323,-71.108786,42.357753,-71.103934,,,,,
3866E69E2BCA0941,2023-09-01 07:29:29,2023-09-01 07:38:57,A32006,M32023,42.364263,-71.118276,42.377945,-71.116865,,,,,
9747368EB8EEA93D,2023-09-01 07:30:30,2023-09-01 07:52:22,M32018,M32073,42.373268,-71.118579,42.368952,-71.109988,,,,,
1872C59AB125F548,2023-09-01 07:30:34,2023-09-01 07:50:31,D32034,M32070,42.348359,-71.139972,42.360542,-71.086698,,,,,
E6E33DA62E0FA47F,2023-09-01 07:30:56,2023-09-01 07:36:35,M32081,M32048,42.37308,-71.086342,42.365445,-71.082771,,,,,
9660E9CDD2A1D9FE,2023-09-01 07:31:37,2023-09-01 07:50:19,D32039,M32070,42.374125,-71.054812,42.360542,-71.086698,,,,,
58D19C40463A3716,2023-09-01 07:31:39,2023-09-01 07:40:45,M32024,M32016,42.380287,-71.125107,42.372217,-71.121881,,,,,
8D7381B830EC63A6,2023-09-01 07:31:56,2023-09-01 07:35:02,M32078,M32004,42.36642,-71.088542,42.362428,-71.084955,,,,,
E6EBBE1258460774,2023-09-01 07:32:09,2023-09-01 07:46:03,M32026,A32003,42.370803,-71.104412,42.350406,-71.108279,,,,,
4BCB3EDB4C35D6B7,2023-09-01 07:32:22,2023-09-01 07:43:39,M32063,D32016,42.368605,-71.099302,42.360793,-71.07119,,,,,
C4610B66AF7BB744,2023-09-01 07:32:30,2023-09-01 07:43:57,C32003,M32061,42.348074,-71.07657,42.361358,-71.096703,,,,,
3090F298B9CD38F1,2023-09-01 07:32:49,2023-09-01 07:39:00,M32052,S32023,42.371197,-71.097599,42.381001,-71.104025,,,,,
29E43D877EEE1229,2023-09-01 07:32:57,2023-09-01 07:49:28,M32047,A32047,42.357753,-71.103934,42.358494,-71.054265,,,,,
E1AF7057D13B3284,2023-09-01 07:33:00,2023-09-01 07:43:37,D32050,M32081,42.364356,-71.069594,42.37308,-71.086342,,,,,
6AC60C16E4F3DD6D,2023-09-01 07:33:32,2023-09-01 07:50:53,C32002,M32085,42.336399,-71.073067,42.363565,-71.100442,,,,,
6C15065DEECC8430,2023-09-01 07:33:40,2023-09-01 07:43:26,M32012,M32023,42.366426,-71.105495,42.377945,-71.116865,,,,,
A85A9A958E76F386,2023-09-01 07:33:53,2023-09-01 07:42:14,M32014,M32020,42.366621,-71.114214,42.379011,-71.119945,,,,,
639EC1B4FB3F925D,2023-09-01 07:34:01,2023-09-01 07:49:13,A32004,M32038,42.338629,-71.1065,42.369239,-71.11687,,,,,
A4DB06E12ACF74C6,2023-09-01 07:34:22,2023-09-01 07:46:03,A32040,M32020,42.360274,-71.128525,42.379011,-71.119945,,,,,
53F220B1A333D1CB,2023-09-01 07:34:50,2023-09-01 07:51:17,M32067,B32000,42.372077,-71.089954,42.348717,-71.085954,,,,,
926414A50C83C977,2023-09-01 07:34:50,2023-09-01 07:41:54,M32007,M32004,42.372969,-71.094445,42.362428,-71.084955,,,,,
B780E5CE48ABC8FF,2023-09-01 07:35:10,2023-09-01 07:40:35,D32016,M32053,42.360793,-71.07119,42.361619,-71.080436,,,,,
8234B2AE77DF8011,2023-09-01 07:35:15,2023-09-01 07:48:39,A32025,M32059,42.365673,-71.064263,42.363693,-71.087567,,,,,
F8B1C10D34AB6921,2023-09-01 07:35:29,2023-09-01 07:41:00,M32076,M32011,42.357662,-71.108413,42.36507,-71.1031,,,,,
D02D9731A9715C20,2023-09-01 07:35:46,2023-09-01 07:56:02,B32062,M32049,42.339202,-71.090511,42.371977,-71.072005,,,,,
AFA0D3F9BF45B684,2023-09-01 07:36:14,2023-09-01 08:00:57,D32022,M32078,42.365908,-71.064467,42.36642,-71.088542,,,,,
43D5463196E44920,2023-09-01 07:36:52,2023-09-01 07:51:11,S32020,M32016,42.390446,-71.108566,42.372217,-71.121881,,,,,
A9AF6DAF681F5AE1,2023-09-01 07:37:02,2023-09-01 07:45:30,M32079,M32020,42.38737,-71.12761,42.379011,-71.119945,,,,,
5DA724DB3F113382,2023-09-01 07:37:46,2023-09-01 08:00:36,M32073,B32003,42.368952,-71.109988,42.337417,-71.102861,,,,,
D20DC69EB19D1DE0,2023-09-01 07:38:11,2023-09-01 07:58:22,D32005,M32073,42.349928,-71.077392,42.368952,-71.109988,,,,,
2BE78AD38A537A48,2023-09-01 07:38:25,2023-09-01 07:43:34,M32076,M32011,42.357662,-71.108413,42.36507,-71.1031,,,,,
F2BBB65BFE90A875,2023-09-01 07:38:39,2023-09-01 07:56:18,M32062,M32025,42.374267,-71.100265,42.397828,-71.130516,,,,,
371E88F14A37BA5C,2023-09-01 07:38:41,2023-09-01 07:50:14,M32039,M32061,42.386748,-71.119019,42.361358,-71.096703,,,,,
163F0D4BFB5B47CD,2023-09-01 07:38:55,2023-09-01 07:51:05,A32019,M32073,42.364475,-71.128408,42.368952,-71.109988,,,,,
